nmc=10
nx=4
kmax=56
run number  , frame , sample interval , truth:
4  45 2.843626  214.025065 -2.633421 2081.141873 20.986198
4  46 2.843626  207.319451 -2.082820 2140.729525 20.923430
4  47 2.843626  203.466142 -0.627317 2202.959855 22.844865
4  48 2.843626  205.573406 2.109413 2269.256632 23.783474
4  49 2.843626  212.599398 2.832159 2333.428310 21.350225
4  50 2.843626  228.978788 8.687915 2404.446865 28.599069
4  51 2.843626  253.553553 8.596190 2486.404288 29.043831
4  52 2.843626  272.253948 4.556310 2570.611981 30.181746
4  53 2.843626  283.958964 3.676148 2661.576101 33.795811
4  54 2.843626  298.517446 6.563231 2759.402016 35.007834
4  55 2.843626  317.011282 6.443991 2856.766369 33.471182
4  56 2.843626  327.811855 1.152348 2950.221858 32.258623
5  1 2.843626  25.243775 0.171454 131.755687 4.268097
5  2 2.843626  25.764383 0.194703 143.178130 3.765620
5  3 2.843626  26.864438 0.578996 154.749903 4.373124
5  4 2.843626  28.622689 0.657630 167.344937 4.485309
5  5 2.843626  29.749679 0.135013 179.492085 4.058113
5  6 2.843626  29.473933 -0.328952 190.903295 3.967703
5  7 2.843626  28.521531 -0.340899 202.316972 4.059848
5  8 2.843626  27.592342 -0.312625 213.814620 4.026763
5  9 2.843626  26.834929 -0.220084 225.226732 3.999688
5  10 2.843626  25.509127 -0.712389 236.793921 4.135833
5  11 2.843626  23.504770 -0.697330 248.358155 3.997609
5  12 2.843626  21.583881 -0.653684 259.779950 4.035652
5  13 2.843626  20.209872 -0.312694 270.213791 3.302754
5  14 2.843626  18.972562 -0.557540 279.107960 2.952758
5  15 2.843626  16.892520 -0.905411 288.730389 3.814960
5  16 2.843626  13.746500 -1.307270 297.185926 2.132051
5  17 2.843626  9.994065 -1.331920 303.197657 2.096164
5  18 2.843626  6.466657 -1.149002 320.964001 10.399393
5  19 2.843626  3.518218 -0.924716 348.202777 8.758385
5  20 2.843626  1.212153 -0.697203 376.681590 11.271544
5  21 2.843626  -0.981081 -0.845358 408.105511 10.829760
5  22 2.843626  -3.209303 -0.721811 438.797306 10.756620
5  23 2.843626  -5.732932 -1.053126 472.444142 12.908121
5  24 2.843626  -8.039658 -0.569258 507.152020 11.502880
5  25 2.843626  -9.757979 -0.639284 539.272662 11.088447
5  26 2.843626  -11.325889 -0.463469 578.347945 16.394269
5  27 2.843626  -12.797729 -0.571717 619.712745 12.698727
5  28 2.843626  -14.172132 -0.394939 650.423725 8.901146
5  29 2.843626  -16.408327 -1.177839 675.837149 8.972811
5  30 2.843626  -19.878107 -1.262553 701.819173 9.301059
5  31 2.843626  -23.733470 -1.449030 727.806035 8.976212
5  32 2.843626  -28.009358 -1.558319 753.525911 9.113281
5  33 2.843626  -31.994943 -1.244852 779.786943 9.356822
5  34 2.843626  -35.771046 -1.410985 805.998229 9.078293
5  35 2.843626  -39.997603 -1.561669 832.032276 9.232165
5  36 2.843626  -44.644617 -1.706704 857.750557 8.856206
5  37 2.843626  -49.463002 -1.682199 883.213876 9.052843
5  38 2.843626  -54.282741 -1.707656 908.853684 8.980336
5  39 2.843626  -59.192609 -1.745589 934.608558 9.133772
5  40 2.843626  -63.805345 -1.498674 960.256197 8.904915
5  41 2.843626  -68.192211 -1.586728 984.963128 8.472146
5  42 2.843626  -72.316245 -1.313817 1009.852442 9.033190
5  43 2.843626  -72.759210 1.002268 1029.013034 4.442979
5  44 2.843626  -70.870401 0.326183 1037.717072 1.678809
