nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
2  27 1.309290  29.960710 -4.457638 144.991250 1.332180 -0.530372
2  28 1.309290  25.117258 -2.644120 148.566910 3.909896 -0.396806
2  29 1.309290  23.143709 -0.301254 154.299720 4.648038 -0.450241
2  30 1.309290  24.581992 2.437320 160.107133 3.962660 -0.357795
2  31 1.309290  27.757243 2.413020 165.415287 4.145786 0.000000
2  32 1.309290  30.887230 2.368178 170.812419 4.098578 0.000000
2  33 1.309290  34.023719 2.422950 176.283843 4.259269 0.000000
2  34 1.309290  37.221834 2.462315 181.908684 4.332931 0.000000
2  35 1.309290  40.490105 2.530118 187.616138 4.385463 0.000000
2  36 1.309290  43.862250 2.620986 193.386149 4.428490 0.000000
2  37 1.309290  47.402275 2.786562 199.172949 4.411108 0.000000
2  38 1.309290  51.190776 3.000543 204.837079 4.241107 0.000000
2  39 1.309290  55.197486 3.119888 210.392737 4.245410 0.000000
2  40 1.309290  59.145797 2.911335 215.920103 4.197893 0.000000
2  41 1.309290  62.990923 2.962269 221.351432 4.098708 0.000000
2  42 1.309290  66.965199 3.108618 226.663161 4.015199 0.000000
2  43 1.309290  71.132264 3.256761 231.915164 4.007475 0.000000
2  44 1.309290  75.315126 3.132750 237.042311 3.824474 0.000000
2  45 1.309290  79.521207 3.292230 241.986681 3.728275 0.000000
2  46 1.309290  83.898374 3.394090 246.938548 3.835925 0.000000
2  47 1.309290  88.337353 3.386651 251.870329 3.697594 0.000000
2  48 1.309290  92.739055 3.337149 256.723427 3.715732 0.000000
2  49 1.309290  97.046425 3.242553 261.472839 3.539211 0.000000
2  50 1.309290  101.352798 3.335627 266.133351 3.579933 0.000000
2  51 1.309290  105.848042 3.531062 270.835641 3.603027 0.000000
2  52 1.309290  110.499640 3.574464 275.552479 3.602158 0.000000
2  53 1.309290  115.115552 3.476550 280.287371 3.630604 0.000000
2  54 1.309290  119.746173 3.596934 285.122684 3.755555 0.000000
2  55 1.309290  124.426339 3.552232 290.134432 3.900117 0.000000
2  56 1.309290  129.163342 3.683754 295.306010 3.999703 0.000000
2  57 1.309290  133.956526 3.638051 300.572963 4.045806 0.000000
2  58 1.309290  138.836973 3.817054 305.721042 3.818117 0.000000
2  59 1.309290  143.801917 3.767121 310.751457 3.866071 0.000000
2  60 1.309290  148.648860 3.636804 315.916804 4.024231 0.000000
2  61 1.309290  153.489548 3.757565 321.281762 4.170985 0.000000
2  62 1.309290  156.362174 0.473835 327.823246 5.456969 0.000000
2  63 1.309290  154.630046 -3.027466 334.675393 4.634090 0.000000
2  64 1.309290  149.033022 -5.214385 339.030375 1.777046 0.000000
2  65 1.309290  141.862140 -5.350181 339.032759 -1.773844 0.000000
2  66 1.309290  136.063903 -3.189193 334.579108 -4.789065 0.000000
2  67 1.309290  134.196327 0.440980 327.514895 -5.608935 0.000000
2  68 1.309290  137.100131 3.837774 320.797512 -4.286882 0.000000
2  69 1.309290  143.595373 5.729813 317.168508 -1.056930 0.000000
2  70 1.309290  151.246764 5.550626 318.115153 2.443518 0.000000
2  71 1.309290  157.078430 3.041615 323.274068 5.147350 0.000000
2  72 1.309290  158.565394 -0.856789 330.857474 6.023120 0.000000
2  73 1.309290  155.066692 -4.293465 337.657111 3.980076 0.000000
2  74 1.309290  148.231870 -5.769326 340.693332 0.489116 0.000000
2  75 1.309290  140.957189 -4.945925 338.939045 -3.070523 0.000000
2  76 1.309290  136.138740 -2.153291 333.199554 -5.378985 0.000000
2  77 1.309290  135.732156 1.554092 325.915012 -5.339641 0.000000
2  78 1.309290  139.913354 4.607576 320.103684 -3.215444 0.000000
2  79 1.309290  146.768649 5.482841 318.129788 0.310702 0.000000
2  80 1.309290  153.168384 3.933231 320.876560 3.739760 0.000000
2  81 1.309290  156.595654 1.123862 327.122778 5.462023 0.000000
2  82 1.309290  155.677115 -2.478080 334.190956 4.943928 0.000000
2  83 1.309290  150.599849 -4.999537 339.311382 2.603243 0.000000
2  84 1.309290  143.307588 -5.746046 340.343282 -1.087573 0.000000
2  85 1.309290  136.949481 -3.606477 336.567454 -4.476857 0.000000
2  86 1.309290  134.323763 -0.264818 329.702695 -5.627878 0.000000
2  87 1.309290  136.358634 3.263035 322.632464 -4.789627 0.000000
2  88 1.309290  142.318099 5.513163 318.246628 -1.663584 0.000000
2  89 1.309290  149.550130 5.127396 318.500544 2.037513 0.000000
2  90 1.309290  154.961892 2.842520 323.151324 4.813937 0.000000
2  91 1.309290  156.554363 -0.490779 330.161800 5.508190 0.000000
2  92 1.309290  155.795788 -0.667979 337.371332 5.504696 0.000000
2  93 1.309290  154.898038 -0.703376 344.658100 5.626172 0.000000
2  94 1.309290  154.080525 -0.545411 351.943607 5.502769 0.000000
2  95 1.309290  153.507102 -0.330519 359.282557 5.707811 0.000000
2  96 1.309290  153.006114 -0.434764 366.648291 5.543681 0.000000
2  97 1.309290  152.587281 -0.205022 373.890014 5.518379 0.000000
2  98 1.309290  152.357957 -0.145281 381.071215 5.451230 0.000000
2  99 1.309290  152.214375 -0.074047 388.286905 5.571063 0.000000
2  100 1.309290  152.063223 -0.156845 395.656652 5.686559 0.000000
2  101 1.309290  151.868804 -0.140139 403.191950 5.823951 0.000000
2  102 1.309290  151.637280 -0.213523 410.976958 6.068001 0.000000
2  103 1.309290  151.397452 -0.152825 418.981387 6.159126 0.000000
2  104 1.309290  151.298176 0.001178 427.088257 6.224486 0.000000
2  105 1.309290  151.210284 -0.135438 435.160213 6.105793 0.000000
2  106 1.309290  150.984836 -0.208944 443.099202 6.021371 0.000000
2  107 1.309290  150.751964 -0.146779 451.063941 6.145129 0.000000
2  108 1.309290  150.501520 -0.235786 459.163606 6.227476 0.000000
2  109 1.309290  150.264898 -0.125665 467.352683 6.281710 0.000000
2  110 1.309290  150.055577 -0.194083 475.524996 6.201868 0.000000
2  111 1.309290  149.866590 -0.094604 483.842927 6.504148 0.000000
2  112 1.309290  149.748734 -0.085427 492.371473 6.523592 0.000000
2  113 1.309290  149.748597 0.085219 501.029291 6.701618 0.000000
2  114 1.309290  149.795654 -0.013338 509.921836 6.882147 0.000000
2  115 1.309290  149.920877 0.204622 519.057497 7.072989 0.000000
2  116 1.309290  150.181778 0.193917 528.388957 7.181238 0.000000
2  117 1.309290  150.360042 0.078389 537.753929 7.124180 0.000000
2  118 1.309290  150.475821 0.098467 547.097607 7.148711 0.000000
2  119 1.309290  150.761685 0.338204 556.387906 7.042641 0.000000
2  120 1.309290  151.121581 0.211552 565.746555 7.253119 0.000000
2  121 1.309290  151.377041 0.178674 575.306054 7.349449 0.000000
2  122 1.309290  151.561618 0.103275 584.913837 7.326874 0.000000
2  123 1.309290  148.848616 -4.087957 593.925289 5.945922 0.784033
2  124 1.309290  140.604363 -7.397020 597.832493 -0.520123 1.045325
2  125 1.309290  133.971096 -1.126559 591.706475 -7.325041 1.166903
2  126 1.309290  139.068644 7.353082 584.382787 -1.636108 1.030289
2  127 1.309290  147.161209 3.048916 588.291354 6.646538 1.090477
2  128 1.309290  144.699792 -6.148030 596.694446 3.923910 0.960910
2  129 1.309290  135.774393 -5.640351 596.006500 -4.862073 1.189053
2  130 1.309290  135.186858 4.971706 587.243457 -5.703443 0.991071
2  131 1.309290  144.310335 6.972213 585.239240 3.056292 0.821296
2  132 1.309290  149.756345 0.518757 592.951701 7.564982 0.923767
2  133 1.309290  145.108068 -6.708726 600.848420 2.965779 1.057250
2  134 1.309290  136.607965 -4.127788 598.499155 -5.946360 0.965846
2  135 1.309290  136.842522 4.438862 589.672901 -5.683512 1.010253
2  136 1.309290  145.323441 6.564608 587.528707 2.898961 1.398333
2  137 1.309290  147.356808 -4.332332 595.555131 5.783956 1.305667
2  138 1.309290  139.077743 -5.053802 596.068456 -5.238831 1.332693
2  139 1.309290  139.906664 5.961504 587.670941 -4.187498 1.460737
2  140 1.309290  147.717351 2.158535 590.290790 6.824488 1.463328
2  141 1.309290  142.811521 -7.232487 596.685724 -0.228485 1.604572
2  142 1.309290  139.082706 3.770804 589.642473 -6.329380 1.505141
