nmc=50
nx=2
kmax=100
run number  , frame , sample interval , truth:
3  68 1.000000  -620.143031 -9.772960
3  69 1.000000  -630.283547 -10.508073
3  70 1.000000  -640.962298 -10.849427
3  71 1.000000  -651.231933 -9.689843
3  72 1.000000  -660.017373 -7.881036
3  73 1.000000  -667.636328 -7.356874
3  74 1.000000  -675.751207 -8.872886
3  75 1.000000  -684.381491 -8.387681
3  76 1.000000  -693.223608 -9.296553
3  77 1.000000  -702.373491 -9.003214
3  78 1.000000  -712.145702 -10.541207
3  79 1.000000  -721.824688 -8.816765
3  80 1.000000  -731.356231 -10.246320
3  81 1.000000  -741.653883 -10.348984
3  82 1.000000  -752.087732 -10.518714
3  83 1.000000  -762.226649 -9.759120
3  84 1.000000  -771.668759 -9.125099
3  85 1.000000  -779.666667 -6.870716
3  86 1.000000  -785.700795 -5.197540
3  87 1.000000  -790.700031 -4.800934
3  88 1.000000  -795.817673 -5.434350
3  89 1.000000  -802.357043 -7.644391
3  90 1.000000  -809.455614 -6.552752
3  91 1.000000  -816.389394 -7.314807
3  92 1.000000  -824.377182 -8.660770
3  93 1.000000  -832.850803 -8.286471
3  94 1.000000  -841.344700 -8.701325
3  95 1.000000  -849.630372 -7.870018
3  96 1.000000  -857.165907 -7.201053
3  97 1.000000  -863.913747 -6.294627
3  98 1.000000  -870.519384 -6.916647
3  99 1.000000  -877.076486 -6.197557
3  100 1.000000  -882.318998 -4.287467
4  1 1.000000  -8.428066 -9.720433
4  2 1.000000  -18.600830 -10.625094
4  3 1.000000  -29.160955 -10.495157
4  4 1.000000  -39.145779 -9.474491
4  5 1.000000  -48.359997 -8.953946
4  6 1.000000  -57.591755 -9.509570
4  7 1.000000  -68.300742 -11.908404
4  8 1.000000  -80.202736 -11.895585
4  9 1.000000  -91.586047 -10.871036
4  10 1.000000  -102.724837 -11.406545
4  11 1.000000  -114.300636 -11.745053
4  12 1.000000  -125.246585 -10.146844
4  13 1.000000  -135.721485 -10.802955
4  14 1.000000  -146.166611 -10.087296
4  15 1.000000  -156.040386 -9.660254
4  16 1.000000  -165.728856 -9.716687
4  17 1.000000  -176.129867 -11.085335
4  18 1.000000  -187.615717 -11.886365
4  19 1.000000  -199.321730 -11.525660
4  20 1.000000  -210.468631 -10.768143
4  21 1.000000  -221.792665 -11.879924
4  22 1.000000  -233.429301 -11.393348
4  23 1.000000  -244.824770 -11.397591
4  24 1.000000  -256.112285 -11.177439
4  25 1.000000  -266.890259 -10.378509
4  26 1.000000  -277.954916 -11.750805
4  27 1.000000  -290.293714 -12.926791
4  28 1.000000  -303.843606 -14.172995
4  29 1.000000  -318.631906 -15.403605
4  30 1.000000  -333.863045 -15.058673
4  31 1.000000  -348.275405 -13.766047
4  32 1.000000  -362.192740 -14.068624
4  33 1.000000  -376.571317 -14.688528
4  34 1.000000  -391.701862 -15.572564
4  35 1.000000  -407.827649 -16.679009
4  36 1.000000  -424.979249 -17.624191
4  37 1.000000  -443.133237 -18.683785
4  38 1.000000  -462.338566 -19.726872
4  39 1.000000  -482.621052 -20.838100
4  40 1.000000  -503.266711 -20.453218
4  41 1.000000  -523.610392 -20.234145
4  42 1.000000  -544.169558 -20.884186
4  43 1.000000  -565.405752 -21.588201
4  44 1.000000  -586.860065 -21.320426
4  45 1.000000  -607.322013 -19.603470
4  46 1.000000  -626.406789 -18.566082
4  47 1.000000  -645.421958 -19.464256
4  48 1.000000  -664.918247 -19.528323
4  49 1.000000  -684.303911 -19.243005
4  50 1.000000  -703.885486 -19.920146
4  51 1.000000  -724.010093 -20.329066
4  52 1.000000  -743.782466 -19.215680
4  53 1.000000  -763.300466 -19.820321
4  54 1.000000  -783.589640 -20.758027
4  55 1.000000  -804.734061 -21.530816
4  56 1.000000  -825.708462 -20.417986
4  57 1.000000  -845.782141 -19.729371
4  58 1.000000  -865.020753 -18.747852
4  59 1.000000  -884.022332 -19.255306
4  60 1.000000  -903.271373 -19.242777
4  61 1.000000  -922.663638 -19.541753
4  62 1.000000  -942.216105 -19.563181
4  63 1.000000  -961.329106 -18.662821
4  64 1.000000  -979.397753 -17.474471
4  65 1.000000  -996.457721 -16.645466
4  66 1.000000  -1012.617174 -15.673439
4  67 1.000000  -1028.376607 -15.845427
4  68 1.000000  -1044.745880 -16.893119
4  69 1.000000  -1061.349609 -16.314338
4  70 1.000000  -1077.474097 -15.934639
4  71 1.000000  -1091.879977 -12.877120
4  72 1.000000  -1104.715305 -12.793537
