nmc=10
nx=5
kmax=157
run number  , frame , sample interval , truth:
2  47 1.272188  16.599202 2.371357 189.550316 3.708745 0.000000
2  48 1.272188  19.537287 2.247591 194.455226 4.002239 0.000000
2  49 1.272188  22.373960 2.211928 199.645181 4.156863 0.000000
2  50 1.272188  25.082943 2.046851 205.000089 4.261560 0.000000
2  51 1.272188  27.720647 2.099869 210.502707 4.389077 0.000000
2  52 1.272188  30.359027 2.047914 216.130805 4.458826 0.000000
2  53 1.272188  33.110711 2.277994 221.844260 4.523267 0.000000
2  54 1.272188  36.014621 2.287227 227.499049 4.366597 0.000000
2  55 1.272188  39.022675 2.441720 232.992535 4.269684 0.000000
2  56 1.272188  42.106821 2.406849 238.458683 4.323618 0.000000
2  57 1.272188  45.268507 2.563620 243.944047 4.299894 0.000000
2  58 1.272188  48.500101 2.516752 249.435483 4.333165 0.000000
2  59 1.272188  51.687929 2.494816 254.946884 4.331278 0.000000
2  60 1.272188  54.800105 2.397819 260.511750 4.417219 0.000000
2  61 1.272188  57.777633 2.283137 266.202822 4.529686 0.000000
2  62 1.272188  60.731151 2.360074 271.982359 4.556294 0.000000
2  63 1.272188  61.712805 -0.871355 278.271502 4.992660 0.000000
2  64 1.272188  58.745839 -3.633522 283.831395 3.449633 0.000000
2  65 1.272188  53.180644 -4.813083 286.475515 0.564291 0.000000
2  66 1.272188  47.409953 -3.942022 285.396099 -2.196541 0.000000
2  67 1.272188  43.387682 -2.177266 281.207680 -4.166481 0.000000
2  68 1.272188  42.381148 0.645978 275.455555 -4.566764 0.000000
2  69 1.272188  44.878308 3.143501 270.333723 -3.209156 0.000000
2  70 1.272188  49.920953 4.517698 267.774720 -0.675974 0.000000
2  71 1.272188  55.429127 3.841102 268.869313 2.345332 0.000000
2  72 1.272188  58.983656 1.552356 273.192775 4.222662 0.000000
2  73 1.272188  59.111980 -1.360901 278.829947 4.339348 0.000000
2  74 1.272188  55.950614 -3.432187 283.368739 2.549323 0.000000
2  75 1.272188  50.957508 -4.146602 284.959543 -0.138428 0.000000
2  76 1.272188  46.093920 -3.239380 283.214007 -2.510380 0.000000
2  77 1.272188  43.247205 -1.082928 279.007682 -3.875560 0.000000
2  78 1.272188  43.293748 1.143861 273.925497 -3.845767 0.000000
2  79 1.272188  46.154015 3.199938 269.940097 -2.199685 0.000000
2  80 1.272188  50.859071 3.948034 268.594780 0.157398 0.000000
2  81 1.272188  55.438763 3.004624 270.355818 2.518722 0.000000
2  82 1.272188  58.003691 0.889747 274.454085 3.701712 0.000000
2  83 1.272188  57.701944 -1.343265 279.286519 3.642040 0.000000
2  84 1.272188  54.553586 -3.445049 283.054982 2.079447 0.000000
2  85 1.272188  49.655499 -3.993353 284.348205 -0.106315 0.000000
2  86 1.272188  44.949016 -3.154692 282.776509 -2.274436 0.000000
2  87 1.272188  42.211074 -0.997059 278.721051 -3.891055 0.000000
2  88 1.272188  42.594834 1.582361 273.688224 -3.753486 0.000000
2  89 1.272188  46.047900 3.667496 269.728308 -2.266907 0.000000
2  90 1.272188  51.263997 4.252832 268.503781 0.409015 0.000000
2  91 1.272188  56.213269 3.266766 270.669989 2.881755 0.000000
2  92 1.272188  59.049588 1.045215 275.274374 4.105852 0.000000
2  93 1.272188  58.627883 -1.688739 280.380117 3.638696 0.000000
2  94 1.272188  55.265196 -3.414685 283.952566 1.782062 0.000000
2  95 1.272188  50.894874 -3.455877 286.133324 1.646298 0.000000
2  96 1.272188  46.464302 -3.509402 288.310454 1.776356 0.000000
2  97 1.272188  42.059823 -3.414856 290.621343 1.856579 0.000000
2  98 1.272188  37.706988 -3.428213 292.896045 1.719468 0.000000
2  99 1.272188  33.293779 -3.509771 295.087504 1.725714 0.000000
2  100 1.272188  28.853938 -3.470079 297.248098 1.670944 0.000000
2  101 1.272188  24.379854 -3.563605 299.402125 1.715390 0.000000
2  102 1.272188  19.893256 -3.489751 301.530259 1.630238 0.000000
2  103 1.272188  15.543165 -3.349006 303.687426 1.761033 0.000000
2  104 1.272188  11.209740 -3.463548 306.019161 1.904676 0.000000
2  105 1.272188  6.730947 -3.577539 308.469355 1.947262 0.000000
2  106 1.272188  2.233191 -3.493361 310.911101 1.891394 0.000000
2  107 1.272188  -2.261080 -3.572058 313.258998 1.799722 0.000000
2  108 1.272188  -6.849975 -3.642120 315.489331 1.706573 0.000000
2  109 1.272188  -11.431032 -3.559736 317.621573 1.645514 0.000000
2  110 1.272188  -15.737319 -3.210156 319.647690 1.539735 0.000000
2  111 1.272188  -19.803256 -3.181882 321.698443 1.684241 0.000000
2  112 1.272188  -24.060438 -3.510811 323.810346 1.635871 0.000000
2  113 1.272188  -28.623244 -3.662354 325.805526 1.500740 0.000000
2  114 1.272188  -33.314027 -3.712002 327.768923 1.585906 0.000000
2  115 1.272188  -37.947696 -3.572566 329.825163 1.646698 0.000000
2  116 1.272188  -42.550291 -3.663149 331.950056 1.693834 0.000000
2  117 1.272188  -47.167877 -3.596133 334.132715 1.737513 0.000000
2  118 1.272188  -51.794642 -3.677580 336.370808 1.780982 0.000000
2  119 1.272188  -56.460114 -3.656985 338.673516 1.839094 0.000000
2  120 1.272188  -61.098671 -3.635266 341.093807 1.965832 0.000000
2  121 1.272188  -65.870071 -3.865828 343.658537 2.066166 0.000000
2  122 1.272188  -70.794301 -3.875528 346.202122 1.932591 0.000000
2  123 1.272188  -75.769077 -3.945291 348.661311 1.933487 0.000000
2  124 1.272188  -80.591645 -3.636242 351.064017 1.843796 0.000000
2  125 1.272188  -85.301566 -3.768201 353.404793 1.836125 0.000000
2  126 1.272188  -90.538240 -4.187081 353.998916 -0.939870 0.633077
2  127 1.272188  -94.908467 -2.312769 350.858939 -3.729958 0.435334
2  128 1.272188  -96.400823 0.027770 345.511751 -4.462242 0.333270
2  129 1.272188  -95.244918 1.760609 340.117142 -3.888659 0.419130
2  130 1.272188  -91.935013 3.314762 336.083533 -2.297884 0.371218
2  131 1.272188  -87.268981 3.881684 334.108328 -0.753407 0.373263
2  132 1.272188  -82.254766 3.853523 334.261204 0.986989 0.273855
2  133 1.272188  -77.641330 3.326143 336.284875 2.161339 0.159405
2  134 1.272188  -73.663581 2.906095 339.549664 2.954191 0.239586
2  135 1.272188  -70.619752 1.841647 343.808581 3.689308 0.340663
2  136 1.272188  -69.181393 0.388266 348.893844 4.180611 0.255624
2  137 1.272188  -69.587145 -1.020985 354.156478 4.019119 0.097674
2  138 1.272188  -71.289526 -1.652057 359.156788 3.831687 0.292084
2  139 1.272188  -74.326031 -3.068148 363.564214 3.017841 0.359150
2  140 1.272188  -79.066108 -4.256610 366.431778 1.412550 0.569009
2  141 1.272188  -84.663356 -4.156547 366.271308 -1.648774 0.451703
2  142 1.272188  -89.184670 -2.759311 362.865050 -3.555582 0.258817
2  143 1.272188  -91.883458 -1.444888 357.926629 -4.136730 0.313935
2  144 1.272188  -92.507391 0.479776 352.272601 -4.636989 0.431008
2  145 1.272188  -90.191947 3.074914 346.723925 -3.870513 0.630977
2  146 1.272188  -84.707733 5.087887 343.808879 -0.462652 0.749692
2  147 1.272188  -78.898355 3.343698 346.217373 3.963874 0.823070
2  148 1.272188  -77.727349 -1.665261 352.431767 4.898263 0.646882
2  149 1.272188  -82.077255 -4.786407 357.377912 2.453243 0.790353
2  150 1.272188  -88.642323 -4.651315 357.057805 -2.930769 0.810807
2  151 1.272188  -91.817961 0.107975 351.174884 -5.481462 0.889337
2  152 1.272188  -88.080507 5.141824 345.730975 -2.132810 1.081130
2  153 1.272188  -81.809152 3.115917 347.717143 4.769502 0.873963
2  154 1.272188  -81.768933 -3.078596 354.604030 4.919714 0.943251
2  155 1.272188  -88.139239 -5.705011 357.535992 -0.847889 0.913794
2  156 1.272188  -93.247907 -1.389541 352.899682 -5.604529 0.900731
2  157 1.272188  -90.986848 4.548037 346.413941 -3.434936 1.131222
3  1 1.272188  24.391533 -0.951102 125.058379 3.909510 -0.081585
3  2 1.272188  23.463407 -0.506659 130.026987 3.894517 -0.218176
3  3 1.272188  23.566079 0.667595 134.962902 3.814881 -0.217084
3  4 1.272188  24.946544 1.487574 139.650343 3.507445 -0.262806
3  5 1.272188  27.546134 2.561135 143.659097 2.735042 -0.077254
3  6 1.272188  30.914444 2.729833 147.020137 2.544637 -0.180307
3  7 1.272188  34.853595 3.436585 149.724841 1.688011 -0.329029
3  8 1.272188  39.506394 3.770121 151.087755 0.427371 -0.264523
3  9 1.272188  44.328934 3.740065 150.861159 -0.779648 -0.077824
3  10 1.272188  49.126968 3.796862 149.600420 -1.200780 0.020909
3  11 1.272188  53.992646 3.851995 148.094771 -1.166108 0.114741
3  12 1.272188  59.099596 4.162677 146.963133 -0.609802 0.123859
