nmc=10
nx=5
kmax=105
run number  , frame , sample interval , truth:
3  21 1.899769  49.350027 0.694517 295.250344 4.519173 0.000000
3  22 1.899769  50.620621 0.643113 303.812826 4.495061 0.000000
3  23 1.899769  51.954894 0.761555 312.513886 4.665062 0.000000
3  24 1.899769  53.354325 0.711709 321.640401 4.942964 0.000000
3  25 1.899769  54.597277 0.596820 330.959763 4.868083 0.000000
3  26 1.899769  55.608294 0.467538 339.783443 4.421129 0.000000
3  27 1.899769  56.412627 0.379232 348.322153 4.568078 0.000000
3  28 1.899769  57.362676 0.620941 356.583249 4.128869 0.000000
3  29 1.899769  58.411837 0.483573 364.333563 4.030347 0.000000
3  30 1.899769  59.238173 0.386360 372.061290 4.105092 0.000000
3  31 1.899769  59.791884 0.196565 379.861849 4.107020 0.000000
3  32 1.899769  60.081588 0.108424 387.492876 3.926616 0.000000
3  33 1.899769  60.438564 0.267386 394.878377 3.848539 0.000000
3  34 1.899769  61.066600 0.393785 402.518049 4.194199 0.000000
3  35 1.899769  61.774259 0.351210 410.620575 4.335812 0.000000
3  36 1.899769  62.481029 0.392849 419.088793 4.579185 0.000000
3  37 1.899769  63.330368 0.501301 427.726791 4.514549 0.000000
3  38 1.899769  64.190888 0.404621 436.642131 4.871160 0.000000
3  39 1.899769  65.019969 0.468202 446.009016 4.989916 0.000000
3  40 1.899769  65.890161 0.447900 455.404639 4.901415 0.000000
3  41 1.899769  66.635892 0.337175 464.619144 4.799242 0.000000
3  42 1.899769  67.347292 0.411758 473.597089 4.652374 0.000000
3  43 1.899769  65.727450 -2.068049 482.248983 4.210023 0.195572
3  44 1.899769  60.007681 -3.889064 489.439831 3.274103 0.256492
3  45 1.899769  51.467947 -4.921680 493.682114 1.103913 0.504415
3  46 1.899769  42.392797 -3.902944 491.545977 -3.159911 0.322068
3  47 1.899769  37.156298 -1.438608 483.615550 -4.930009 0.400523
3  48 1.899769  37.974288 2.252681 474.534686 -4.143805 0.306373
3  49 1.899769  44.025326 3.930230 468.473459 -2.051161 0.368893
3  50 1.899769  52.203617 4.324142 467.230624 0.789438 0.717205
3  51 1.899769  57.379174 0.279440 473.311164 4.626694 1.040765
3  52 1.899769  51.060586 -4.741751 477.461512 -1.896231 1.210103
3  53 1.899769  50.914611 4.748888 469.784655 -2.257617 1.388378
3  54 1.899769  55.901281 -2.768259 475.398060 4.252454 1.752703
3  55 1.899769  51.636594 3.777467 471.542347 -3.944923 1.668205
3  56 1.899769  56.281029 -3.907773 476.365241 4.080934 1.760355
3  57 1.899769  52.123382 4.632977 471.481226 -3.235080 1.785168
3  58 1.899769  55.076497 -5.260967 476.811146 1.749183 2.049225
3  59 1.899769  55.373604 5.061156 471.871784 2.404738 1.875664
3  60 1.899769  51.719106 -3.736643 476.804503 -3.952804 2.033030
3  61 1.899769  56.392043 0.256852 475.100886 5.680270 2.160219
3  62 1.899769  52.403946 4.768742 473.238322 -3.343842 2.237884
3  63 1.899769  52.869579 -4.889160 477.455616 -2.994022 2.175468
3  64 1.899769  49.243058 1.635228 467.784200 -5.672968 0.000000
3  65 1.899769  57.710275 5.929156 461.524195 0.056859 0.000000
3  66 1.899769  65.743464 1.222307 468.241477 5.970878 0.000000
3  67 1.899769  60.857180 -5.598982 477.497252 2.235917 0.000000
3  68 1.899769  50.690512 -3.472965 474.176293 -5.254249 0.000000
3  69 1.899769  51.682257 4.373611 463.184393 -4.547776 0.000000
3  70 1.899769  62.252500 4.992933 461.909374 3.453702 0.000000
3  71 1.899769  65.534214 -2.045065 471.935074 5.466229 0.000000
3  72 1.899769  56.807840 -5.737184 477.228179 -0.750877 0.000000
3  73 1.899769  49.626560 -0.680734 469.938892 -5.758461 0.000000
3  74 1.899769  54.973912 5.459597 461.142304 -2.106250 0.000000
3  75 1.899769  65.029049 3.548412 463.949381 4.579066 0.000000
3  76 1.899769  64.885607 -3.690181 474.067081 4.439310 0.000000
3  77 1.899769  54.779301 -5.358442 476.468410 -2.254316 0.000000
3  78 1.899769  49.663984 0.769947 467.369859 -5.892069 0.000000
3  79 1.899769  57.274101 6.045976 459.972661 -0.722113 0.000000
3  80 1.899769  66.019070 1.693407 465.502128 5.651870 0.000000
3  81 1.899769  62.143575 -5.165972 475.680463 3.514989 0.000000
3  82 1.899769  50.931440 -4.880183 475.171496 -3.932064 0.000000
3  83 1.899769  48.639052 2.865616 464.134826 -5.965659 0.000000
3  84 1.899769  59.074911 6.447390 458.944870 1.326974 0.000000
3  85 1.899769  71.208694 6.326564 461.493316 1.355926 0.000000
3  86 1.899769  83.180724 6.277104 464.119296 1.408599 0.000000
3  87 1.899769  95.209988 6.386818 466.824488 1.439318 0.000000
3  88 1.899769  107.277142 6.316994 469.527827 1.406648 0.000000
3  89 1.899769  119.120930 6.151666 472.169763 1.374675 0.000000
3  90 1.899769  130.798907 6.142434 474.900175 1.499792 0.000000
3  91 1.899769  142.300325 5.965792 477.569049 1.309890 0.000000
3  92 1.899769  153.462618 5.785417 479.866668 1.108949 0.000000
3  93 1.899769  163.994631 5.302259 481.532077 0.644327 0.000000
3  94 1.899769  174.138564 5.376863 482.671975 0.555710 0.000000
3  95 1.899769  184.131721 5.143528 483.648172 0.471991 0.000000
3  96 1.899769  194.017519 5.263840 484.499156 0.423890 0.000000
3  97 1.899769  204.072220 5.321343 485.290850 0.409574 0.000000
3  98 1.899769  214.006220 5.136770 485.825845 0.153647 0.000000
3  99 1.899769  223.760704 5.132355 486.125712 0.162041 0.000000
3  100 1.899769  233.497473 5.118121 486.310340 0.032328 0.000000
3  101 1.899769  243.261341 5.160883 486.404118 0.066398 0.000000
3  102 1.899769  253.036743 5.130264 486.545899 0.082863 0.000000
3  103 1.899769  262.772844 5.119509 486.562856 -0.065011 0.000000
3  104 1.899769  272.496289 5.116940 486.474980 -0.027501 0.000000
3  105 1.899769  282.347101 5.253596 486.366565 -0.086634 0.000000
4  1 1.899769  25.085646 0.090165 127.443625 3.836347 0.000000
4  2 1.899769  25.048988 -0.128757 134.808518 3.917114 0.000000
4  3 1.899769  25.081222 0.162692 142.233067 3.899150 0.000000
4  4 1.899769  25.179613 -0.059110 149.508946 3.760600 0.000000
4  5 1.899769  24.958267 -0.173913 156.622666 3.728436 0.000000
4  6 1.899769  24.407043 -0.406394 163.854330 3.884767 0.000000
4  7 1.899769  23.699328 -0.338661 171.153428 3.799428 0.000000
4  8 1.899769  23.073455 -0.320233 178.431315 3.862437 0.000000
4  9 1.899769  22.160171 -0.641235 185.535813 3.616890 0.000000
4  10 1.899769  20.914083 -0.670595 192.057056 3.248410 0.000000
4  11 1.899769  19.651978 -0.658098 198.490725 3.524697 0.000000
4  12 1.899769  18.490530 -0.564628 205.128854 3.463656 0.000000
4  13 1.899769  17.598752 -0.374200 211.499053 3.242632 0.000000
4  14 1.899769  17.020982 -0.234052 217.692582 3.277665 0.000000
4  15 1.899769  16.518786 -0.294639 223.931354 3.290261 0.000000
4  16 1.899769  15.984149 -0.268205 229.967839 3.064706 0.000000
